연번,시도,시군구,읍면동,우편번호,주    소,전화번호,팩스번호
2558,전북,고창군,공음면 행정복지센터,56460,전북특별자치도 고창군 공음면 공음길 35,,063-560-8241
2559,전북,고창군,상하면 행정복지센터,56410,전북특별자치도 고창군 상하면 상하로 84-11,,
2560,전북,고창군,해리면 행정복지센터,56402,전북특별자치도 고창군 해리면 청해2길 38,,063-560-8301
2562,전북,고창군,대산면 행정복지센터,56468,전북특별자치도 고창군 대산면 대성로 273,,
2564,전북,고창군,흥덕면 행정복지센터,56415,전북특별자치도 고창군 흥덕면 문화2길 27,,063-560-8429
2565,전북,고창군,성내면 행정복지센터,56420,전북특별자치도 고창군 성내면 시기2길 6,,
2566,전북,고창군,신림면 행정복지센터,56422,전북특별자치도 고창군 신림면 신림로 136,,063-561-5563
2575,전북,부안군,진서면사무소,56346,전북특별자치도 부안군 진서면 청자로 926,,063-580-4158
2584,전남,목포시,산정동행정복지센터,58648,전라남도 목포시 양을로 144,,061-270-8255
2590,전남,목포시,삼학동주민센터,58738,전라남도 목포시 자유로104번길 35,,
2603,전남,목포시,부주동행정복지센터,58676,전라남도 목포시 남악1로52번가길 2,,061-270-3598
2609,전남,여수시,화정면사무소,59782,전라남도 여수시 화정면 백야3길 8-11,,061-659-1905
2611,전남,여수시,동문동주민센터,59742,전라남도 여수시 관문1길 19 ,,061-681-7479
2612,전남,여수시,한려동주민센터,59744,전라남도 여수시 수정2길 9 ,,061-659-1908
2620,전남,여수시,여서동주민센터,59711,전라남도 여수시 여서동5길 17,,061-659-1916
2621,전남,여수시,문수동행정복지센터,59702,전라남도 여수시 여문1로 71 ,,061-652-9193
2622,전남,여수시,미평동행정복지센터,59629,전라남도 여수시 미평3길 42 ,,
2625,전남,여수시,쌍봉동주민센터,59677,전라남도 여수시 흥국로 25 ,,
2627,전남,여수시,여천동주민센터,59633,전라남도 여수시 무선로 190 ,,061-659-1916
2631,전남,순천시,승주읍행정복지센터,57908,전라남도 순천시 승주읍 승주로 731 ,,061-749-8001
2640,전남,순천시,황전면행정복지센터,57902,전라남도 순천시 황전면 백야중길 12 ,,061-749-4600
2641,전남,순천시,월등면행정복지센터,57902,전라남도 순천시 월등면 월등로 571 ,,061-749-4749
2642,전남,순천시,향동행정복지센터,57941,전라남도 순천시 임청대길 1,,061-749-4749
2643,전남,순천시,매곡동행정복지센터,57940,전라남도 순천시 북정2길 63,,061-749-4749
2644,전남,순천시,삼산동행정복지센터,57937,전라남도 순천시 삼산로 3,,061-749-4738
2650,전남,순천시,장천동행정복지센터,57956,전라남도 순천시 중앙로 22,,
2655,전남,나주시,남평읍행정복지센터,58227,전라남도 나주시 남평읍 남평2로 42-7,,061-339-3503
2676,전남,광양시,봉강면사무소,57701,전라남도 광양시 봉강면 조양길 46,,061-797-2598
2694,전남,담양군,금성면사무소,57305,전라남도 담양군 금성면 석현길 11,,061-380-3454
2698,전남,담양군,대전면사무소,57328,전라남도 담양군 대전면 대치8길 21-5,,061-380-3932
2711,전남,구례군,문척면사무소,57630,전라남도 구례군 문척면 수달생태로 268-12,,061-780-8253
2713,전남,구례군,토지면사무소,57624,전라남도 구례군 토지면 섬진강대로 5040,,061-659-1901
2714,전남,구례군,마산면사무소,57617,전라남도 구례군 마산면 화엄사로 150,,061-531-3444
2722,전남,고흥군,금산면사무소,59564,전라남도 고흥군 금산면 거금중앙길 84,,
2723,전남,고흥군,도화면사무소,59529,전라남도 고흥군 도화면 오치길 37,,
2730,전남,고흥군,남양면사무소,59509,전라남도 고흥군 남양면 남양희망길 19,,
2754,전남,화순군,이서면사무소,58103,전라남도 화순군 이서면 적벽로 845,,
2755,전남,화순군,벡아면사무소,58101,전라남도 화순군 백아면 학천길 26,,
2756,전남,화순군,동복면사무소,58102,전라남도 화순군 동복면 석등길 11,,061-379-5110
2757,전남,화순군,사평면사무소,58144,전라남도 화순군 사평면 사호로 229,,
2758,전남,화순군,동면사무소,58132,전라남도 화순군 동면 충의로 751,,
2759,전남,장흥군,장흥읍행정복지센터,59330,전라남도 장흥군 장흥읍 칠거리예양로 83,,
2761,전남,장흥군,대덕읍행정복지센터,59363,전라남도 장흥군 대덕읍 대대로 929,,
2771,전남,강진군,대구면사무소,59266,전라남도 강진군 대구면 수동길 18 ,,
2785,전남,해남군,북평면사무소,59055,전라남도 해남군 북평면 달량진길 8,,
2786,전남,해남군,북일면사무소,59051,전라남도 해남군 북일면 장고봉로 5,,061-393-1335
2787,전남,해남군,옥천면사무소,59021,전라남도 해남군 옥천면 해강로 5,,
2789,전남,해남군,마산면사무소,59020,전라남도 해남군 마산면 마산로 445,,061-531-3444
2796,전남,영암군,덕진면사무소,58408,전라남도 영암군 덕진면 예향로 1731,,061-470-2579
2797,전남,영암군,금정면사무소,58405,전라남도 영암군 금정면 용두로 14,,061-470-6173
2799,전남,영암군,시종면사무소,58427,전라남도 영암군 시종면 내동중앙로 41,,061-470-2579
2803,전남,영암군,학산면사무소,58439,전라남도 영암군 학산면 독천로 193-1,,061-470-6367
2808,전남,무안군,몽탄면사무소,58546,전라남도 무안군 몽탄면 몽탄로 862,,061-450-4243
2819,전남,함평군,대동면사무소,57145,전라남도 함평군 대동면 대동길 5-10,,
2831,전남,영광군,염산면사무소,57066,전라남도 영광군 염산면 천년로1길 1-3,,061-350-4955
2836,전남,장성군,남면행정복지센터,57249,전라남도 장성군 남면 못재로 85,,
2856,전남,완도군,생일면사무소,59144,전라남도 완도군 생일면 생일로 582,,
2857,전남,진도군,진도읍행정복지센터,58922,전라남도 진도군 진도읍 남동1길 46,,061-540-6523
2858,전남,진도군,군내면사무소,58904,전라남도 진도군 군내면 가흥로 643,,
2860,전남,진도군,의신면사무소,58935,전라남도 진도군 의신면 돈지1길 56-5,,061-540-6654
2864,전남,신안군,지도읍사무소,58813,전라남도 신안군 지도읍 읍내길 67-5,,061-240-8000
2883,경북,포항시 남구,장기면행정복지센터,37945,경상북도 포항시 남구 장기면 읍내길 99,,
2886,경북,포항시 남구,해도동행정복지센터,37795,경상북도 포항시 남구 상공로 235,,054-249-2388
2888,경북,포항시 남구,청림동행정복지센터,37920,경상북도 포항시 남구 신항로 10,,054-249-2388
2890,경북,포항시 남구,효곡동행정복지센터,37664,경상북도 포항시 남구 효자동길 30,,
2899,경북,포항시 북구,중앙동행정복지센터,37718,경상북도 포항시 북구 학산로 54,,054-330-6813
2915,경북,경주시,서면행정복지센터,38053,경상북도 경주시 서면 내서로 458,,
2918,경북,경주시,천북면행정복지센터,38035,경상북도 경주시 천북면 천북로 383,,054-783-9415
2921,경북,경주시,성건동행정복지센터,38135,경상북도 경주시 금성로 370,,054-779-8361
2924,경북,경주시,월성동행정복지센터,38164,경상북도 경주시 원화로 177,,054-231-7703
2928,경북,경주시,불국동행정복지센터,38129,경상북도 경주시 산업로 3008,,054-750-8519
2929,경북,경주시,보덕동행정복지센터,38118,경상북도 경주시 경감로 593,,054-745-2332
2959,경북,안동시,남선면행정복지센터,36741,경상북도 안동시 남선면 충효로 3866,,
2966,경북,안동시,중구동행정복지센터,36704,경상북도 안동시 서동문로 238,,
2975,경북,안동시,강남동행정복지센터,36747,경상북도 안동시 강남5길 185,,054-858-7920
3005,경북,영주시,장수면행정복지센터,36145,경상북도 영주시 장수면 장수로 50,,
3023,경북,영천시,화산면행정복지센터,38807,경상북도 영천시 화산면 연지길 16 ,,054-231-7703
3025,경북,영천시,화남면행정복지센터,38810,경상북도 영천시 화남면 신화로 1197 ,,054-330-6806
3030,경북,영천시,대창면행정복지센터,38911,경상북도 영천시 대창면 금박로 1057-7,,054-337-7993
3031,경북,영천시,동부동행정복지센터,38858,경상북도 영천시 상록4길 63(야사동) ,,054-330-6812
3032,경북,영천시,중앙동행정복지센터,38838,경상북도 영천시 천문로 402-4(문내동),,054-330-6813
3033,경북,영천시,서부동행정복지센터,38839,경상북도 영천시 장수로 19(화룡동) ,,054-330-6814
3040,경북,상주시 ,청리면행정복지센터,37255,경상북도 상주시 청리면 원장1길 12,,054-330-6805
3041,경북,상주시 ,공성면행정복지센터,37267,경상북도 상주시 공성면 공성중앙로 67,,054-537-8906
3042,경북,상주시 ,외남면행정복지센터,37259,경상북도 상주시 외남면 석단로 932,,054-330-6805
3043,경북,상주시 ,내서면행정복지센터,37150,경상북도 상주시 내서면 신촌2길 8,,054-550-6703
3044,경북,상주시 ,모동면행정복지센터,37271,경상북도 상주시 모동면 용호3길 5,,054-534-8327
3046,경북,상주시 ,화동면행정복지센터,37146,경상북도 상주시 화동면 이소1길 42-5,,054-330-6805
3051,경북,상주시 ,공검면행정복지센터,37132,경상북도 상주시 공검면 비재로 1308,,
3057,경북,상주시 ,동문동행정복지센터,37233,경상북도 상주시 복룡2길 23,,
3074,경북,경산시,하양읍 행정복지센터,38431,경상븍도 경산시 하양읍 문화로 36 ,,
3075,경북,경산시,진량읍 행정복지센터,38487,경상븍도 경산시 진량읍 다문로 50 ,,
3076,경북,경산시,와촌면 행정복지센터,38412,경상븍도 경산시 와촌면 금송로 416 ,,
3077,경북,경산시,자인면 행정복지센터,38555,경상븍도 경산시 자인면 일연로 82 ,,
3078,경북,경산시,용성면 행정복지센터,38561,경상븍도 경산시 용성면 원효로 1423 ,,
3080,경북,경산시,압량읍 행정복지센터,38509,경상븍도 경산시 압량면 부적길 35 ,,
3081,경북,경산시,남천면 행정복지센터,38695,경상븍도 경산시 남천면 남천로 465 ,,
3082,경북,경산시,중앙동 행정복지센터,38634,경상븍도 경산시 경안로30길 18 ,,054-330-6813
3083,경북,경산시,동부동 행정복지센터,38581,경상븍도 경산시 백자로 46,,054-330-6812
3084,경북,경산시,서부1동 행정복지센터,38678,경상븍도 경산시 경산로 135 ,,
3085,경북,경산시,서부2동 행정복지센터,38660,경상븍도 경산시 경산로44길 7 ,,
3087,경북,경산시,북부동 행정복지센터,38615,경상븍도 경산시 중방로 125 ,,054-249-2388
3088,경북,경산시,중방동 행정복지센터,38624,경상븍도 경산시 중앙초등길 62 ,,
3100,경북,의성군,옥산면행정복지센터,37324,경상북도 의성군 옥산면 신감옥산로 1180,,054-830-5934
3101,경북,의성군,사곡면행정복지센터,37347,경상북도 의성군 사곡면 의성사곡로 973,,054-830-5935
3129,경북,영덕군,영덕읍행정복지센터,36439,경상북도 영덕군 영덕읍 우곡길 62,,
3130,경북,영덕군,강구면행정복지센터,36456,경상북도 영덕군 강구면 동해대로 4526,,
3131,경북,영덕군,남정면행정복지센터,36463,경상북도 양덕군 남정면 진불길 43,,
3132,경북,영덕군,달산면행정복지센터,36448,경상북도 영덕군 달산면 팔각산로 1829,,054-632-1714
3134,경북,영덕군,축산면행정복지센터,36419,경상북도 영덕군 축산면 도곡길 67,,054-650-6606
3135,경북,영덕군,영해면행정복지센터,36413,경상북도 영덕군 영해면 예주3길 7,,054-730-7742
3136,경북,영덕군,병곡면행정복지센터,36404,경상북도 영덕군 병곡면 병곡길 72,,054-730-0780
3137,경북,영덕군,창수면행정복지센터,36401,경상북도 영덕군 창수면 신기길 5,,054-730-6217
3142,경북,청도군,각북면행정복지센터,38302,경상북도 청도군 각북면 헐티로 801,,054-550-6712
3143,경북,청도군,이서면행정복지센터,38317,경상북도 청도군 이서면 이서로 145-18,,054-632-1714
3150,경북,고령군,성산면행정복지센터,40118,경상북도 고령군 성산면 성산로 897,,
3154,경북,고령군,쌍림면행정복지센터,40163,경상북도 고령군 쌍림면 대가야로 613,,054-956-0349
3162,경북,성주군,벽진면행정복지센터,40002,경상북도 성주군 벽진면 수촌길 12,,054-231-7703
3164,경북,성주군,월항면행정복지센터,40038,경상북도 성주군 월항면 주산로 366,,
3172,경북,칠곡군,기산면행정복지센터,39914,경상북도 칠곡군 기산면 주산로 1213,,
3179,경북,예천군,보문면행정복지센터,36815,경상북도 예천군 보문면 미호길 127,,054-650-6089
3185,경북,봉화군,봉화읍행정복지센터,36238,경상북도 봉화군 봉화읍 내성로3길 9,,054-674-3434
3187,경북,봉화군,봉성면행정복지센터,36230,경상북도 봉화군 봉성면 옥마로 23 ,,054-537-8906
3200,경북,울진군,매화면행정복지센터,36339,경상북도 울진군 매화면 매화1길 95,,054-788-2710
3206,경북,울릉군,서면행정복지센터,40235,경상북도 울릉군 서면 남양4길 31,,
3208,경남,창원시 의창구,동읍행정복지센터,51128,경상남도 창원시 의창구 동읍 동읍로 88,,055-359-6798
3218,경남,창원시 성산구,상남동행정복지센터,51502,경상남도 창원시 성산구 동산로 73,,
3219,경남,창원시 성산구,사파동행정복지센터,51461,경상남도 창원시 성산구 대암로 109,,
3221,경남,창원시 성산구,성주동행정복지센터,51539,경상남도 창원시 성산구 공단로 735,,
3222,경남,창원시 성산구,웅남동행정복지센터,51563,경상남도 창원시 성산구 신촌로 50,,
3223,경남,창원시 마산합포구,구산면행정복지센터,51779,경상남도 창원시 마산합포구 구산면 구산로 554,,
3231,경남,창원시 마산합포구,반원중앙동행정복지센터,51761,경상남도 창원시 마산합포구 중앙남5길 45,,
3234,경남,창원시 마산합포구,오동동행정복지센터,51731,경상남도 창원시 마산합포구 동서북4길 13,,
3235,경남,창원시 마산합포구,교방동행정복지센터,51276,경상남도 창원시 마산합포구 교방동5길 18,,
3238,경남,창원시 마산회원구,내서읍행정복지센터,51229,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,,055-225-4930
3242,경남,창원시 마산회원구,회성동행정복지센터,51311,경상남도 창원시 마산회원구 북성로 327,,055-230-5410
3249,경남,창원시 마산회원구,봉암동행정복지센터,51342,경상남도 창원시 마산회원구 봉양로 148,,055-225-4943
3253,경남,창원시 진해구,경화동행정복지센터,51670,경상남도 창원시 진해구 경화로8번길 5,,055-225-4965
3255,경남,창원시 진해구,석동행정복지센터,51586,경상남도 창원시 진해구 돌리로 3,,055-225-4967
3266,경남,진주시,금곡면사무소,52843,경상남도 진주시 금곡면 월아산로 140,,055-749-2903
3279,경남,진주시,천전동행정복지센터,52711,경상남도 진주시 망경남길44번길 22,,055-749-4001
3285,경남,진주시,상평동행정복지센터,52805,경상남도 진주시 솔밭로80번길 18,,
3289,경남,진주시,이현동행정복지센터,52668,경상남도 진주시 평거로 287,,
3291,경남,진주시,가호동행정복지센터,52826,경상남도 진주시 진주역로95번길 6,,
3298,경남,통영시,한산면사무소,53092,경상남도 통영시 한산면 한산일주로 844,,055-650-6884
3300,경남,통영시,도천동행정복지센터,53064,경상남도 통영시 평인일주로 36,,055-650-3760
3307,경남,통영시,봉평동행정복지센터,53074,경상남도 통영시 도남로 185,,
3312,경남,사천시,축동면행정복지센터,52510,경상남도 사천시 축동면 길평1길 20,,055-359-6738
3321,경남,사천시,남양동행정복지센터,52547,경상남도 사천시 임내안길 65,,
3341,경남,밀양시,삼랑진읍행정복지센터,50467,경상남도 밀양시 삼랑진읍 외송중앙길 6,,
3343,경남,밀양시,부북면행정복지센터,50402,경상남도 밀양시 부북면 부북로 28,,055-359-6918
3344,경남,밀양시,상동면행정복지센터,50409,경상남도 밀양시 상동면 상동로 554,,055-359-6618
3345,경남,밀양시,산외면행정복지센터,50411,경상남도 밀양시 산외면 산외로 427,,055-359-6648
3349,경남,밀양시,초동면행정복지센터,50455,경상남도 밀양시 초동면 초동로 111,,
3360,경남,거제시,거제면사무소,53286,경상남도 거제시 거제면 서상길 1,,055-639-6560
3377,경남,양산시,원동면행정복지센터,50587,경상남도 양산시 원동면 원동마을길 36,,055-392-7157
3378,경남,양산시,상북면행정복지센터,50558,경상남도 양산시 상북면 상북중앙로 398,,055-362-9898
3379,경남,양산시,하북면행정복지센터,50503,경상남도 양산시 하북면 신평강변5길 12,,055-392-7251
3381,경남,양산시,양주동행정복지센터,50626,경상남도 양산시 양주로 130(중부동),,055-392-7454
3382,경남,양산시,삼성동행정복지센터,50574,경상남도 양산시 신기서길 27(신기동),,055-392-7353
3383,경남,양산시,강서동행정복지센터,50593,경상남도 양산시 교동1길 18(교동),,055-392-7401
3385,경남,양산시,소주동행정복지센터,50514,경상남도 양산시 소주회야1길 5-26(소주동),,055-392-6751
3386,경남,양산시,평산동행정복지센터,50541,경상남도 양산시 평산로 71(평산동),,055-392-6830
3390,경남,의령군,칠곡면행정복지센터,52134,경상남도 의령군 칠곡면 칠곡로 33,,
3392,경남,의령군,화정면사무소,52157,경상남도 의령군 화정면 화정로 294,,
3395,경남,의령군,지정면사무소,52117,경상남도 의령군 지정면 함의로5길 8,,055-639-6969
3410,경남,함안군,여항면사무소,52073,경상남도 함안군 여항면 여항로 50,,055-580-3950
3424,경남,창녕군,부곡면사무소,50365,경상남도 창녕군 부곡면 부곡로 65,,055-530-7070
3426,경남,고성군,삼산면사무소,52959,경상남도 고성군 삼산면 공룡로 2137,,
3435,경남,고성군,회화면사무소,52915,경상남도 고성군 회화면 배둔로 80,,055-670-5501
3437,경남,고성군,동해면사무소,52918,경상남도 고성군 동해면 장기3길 100,,
3439,경남,남해군,남해읍행정복지센터,52420,경상남도 남해군 남해읍 남해읍 화전로 81　,,
3447,경남,남해군,설천면행정복지센터,52401,경상남도 남해군 설천면 설천로 695　,,
3450,경남,하동군,화개면사무소,52303,경상남도 하동군 화개면 쌍계로 71-9,,055-880-6051
3455,경남,하동군,금남면사무소,52352,경상남도 하동군 금남면 미법마을길 10,,
3456,경남,하동군,금성면사무소,52353,경상남도 하동군 금성면 신도길 149,,
3465,경남,산청군,생초면사무소,52203,경상남도 산청군 생초면 생초로 58,,055-970-6789
3467,경남,산청군,삼장면사무소,52235,경상남도 산청군 삼장면 덕산대포로 257,,055-970-8251
3470,경남,산청군,신안면사무소,52249,경상남도 산청군 신안면 원지로 11-15,,055-970-8401
3474,경남,함양군,마천면사무소,50050,경상남도 함양군 마천면 당흥길 15,,055-962-9009
3475,경남,함양군,휴천면사무소,50052,경상남도 함양군 휴천면 목현옥매로 3,,055-960-8560
3481,경남,함양군,서상면사무소,50001,경상남도 함양군 서상면 서상로 260,,055-960-8860
3489,경남,거창군,위천면 행정복지센터,50103,경상남도 거창군 위천면 원학길 324,,055-940-7560
3502,경남,합천군,초계면사무소,50246,경상남도 합천군 초계면 초계중앙로 45,,055-930-4070
3507,경남,합천군,대양면사무소,50240,경상남도 합천군 대양면 대한로 5,,
3523,제주,제주시,이도2동주민센터,63211,제주특별자치도 제주시 오복3길 8,,064-728-4359
3526,제주,제주시,용담1동주민센터,63174,제주특별자치도 제주시 용남3길 11,,
3530,제주,제주시,삼양동주민센터,63318,제주특별자치도 제주시 지석13길 6,,
3534,제주,제주시,연동주민센터,63122,제주특별자치도 제주시 신대로 101,,
3542,제주,서귀포시,안덕면사무소,63529,제주특별자치도 서귀포시 안덕면 화순서서로 74,,
